IATA,ICAO,Name,Country,City
EML,LSME,Emmen Air Base,Switzerland,Emmen
EMM,KEMM,Kemmerer Municipal Airport,United States,"Kemmerer, Wyoming"
EMN,GQNI,Néma Airport,Mauritania,Néma
EMO,AYEO,Emo Airport,Papua New Guinea,Emo
EMP,KEMP,Emporia Municipal Airport,United States,"Emporia, Kansas"
EMS,AYEB,Embessa Airport,Papua New Guinea,Embessa
EMT,KEMT,San Gabriel Valley Airport,United States,"El Monte, California"
EMX,SAVD,El Maitén Airport,Argentina,"El Maitén, Chubut"
EMY,HEMN,El Minya Airport,Egypt,El Minya
ENA,PAEN,Kenai Municipal Airport,United States,"Kenai, Alaska"
ENB,YEEB,Eneabba Airport,Australia,"Eneabba, Western Australia"
ENC,LFSN,Nancy-Essey Airport,France,"Nancy, Lorraine"
END,KEND,Vance Air Force Base,United States,"Enid, Oklahoma"
ENE,WATE,H. Hasan Aroeboesman Airport,Indonesia,Ende
ENF,EFET,Enontekiö Airport,Finland,Enontekiö
ENH,ZHES,Enshi Xujiaping Airport,China,"Enshi, Hubei"
ENI,RPEN,El Nido Airport,Philippines,El Nido
ENJ,,El Naranjo Airport,Guatemala,El Naranjo
ENK,EGAB,Enniskillen/St Angelo Airport,United Kingdom,"Enniskillen, Northern Ireland"
ENL,KENL,Centralia Municipal Airport,United States,"Centralia, Illinois"
ENN,PANN,Nenana Municipal Airport,United States,"Nenana, Alaska"
ENO,SGEN,Teniente Amin Ayub Gonzalez Airport,Paraguay,Encarnacion
ENS,EHTW,Enschede Airport Twente,Netherlands,Enschede
ENT,PKMA,Enewetak Auxiliary Airfield,Marshall Islands,Enewetak
ENU,DNEN,Akanu Ibiam International Airport,Nigeria,Enugu
ENV,KENV,Wendover Airport,United States,"Wendover, Utah"
ENW,KENW,Kenosha Regional Airport,United States,"Kenosha, Wisconsin"
ENY,ZLYA,Yan'an Nanniwan Airport,China,"Yan'an, Shaanxi"
EOH,SKMD,Olaya Herrera Airport,Colombia,Medellín
EOI,EGED,Eday Airport,United Kingdom,"Eday, Scotland"
EOK,KEOK,Keokuk Municipal Airport,United States,"Keokuk, Iowa"
EOR,SVED,El Dorado Airport,Venezuela,El Dorado
EOS,KEOS,Neosho Hugh Robinson Airport,United States,"Neosho, Missouri"
EOZ,SVEZ,Elorza Airport,Venezuela,Elorza
EPA,SADP,El Palomar Airport,Argentina,"El Palomar, Buenos Aires"
EPG,,Browns Airport ,United States,"Weeping Water, Nebraska"
EPH,KEPH,Ephrata Municipal Airport,United States,"Ephrata, Washington"
EPL,LFSG,Épinal – Mirecourt Airport,France,"Épinal / Mirecourt, Lorraine"
EPN,,Epéna Airport,Republic of the Congo,Epéna
EPR,YESP,Esperance Airport,Australia,"Esperance, Western Australia"
EPS,MDAB,Arroyo Barril Airport,Dominican Republic,Samaná
EPT,AYEL,Eliptamin Airport,Papua New Guinea,Eliptamin
EPU,EEPU,Pärnu Airport,Estonia,Pärnu
EQS,SAVE,Esquel Airport,Argentina,"Esquel, Chubut"
ERA,HCMU,Erigavo Airport,Somalia,Erigavo
ERB,YERN,Pukatja Airport (Ernabella Airport),Australia,"Pukatja, South Australia"
ERC,LTCD,Erzincan Airport,Turkey,Erzincan
ERD,UKDB,Berdiansk Airport,Ukraine,Berdiansk
ERE,AYEV,Erave Airport,Papua New Guinea,Erave
ERF,EDDE,Erfurt–Weimar Airport,Germany,"Erfurt, Thuringia"
ERG,UIKE,Erbogachen Airport,Russia,"Yerbogachen, Irkutsk Oblast"
ERH,GMFK,Moulay Ali Cherif Airport,Morocco,Errachidia
ERI,KERI,Erie International Airport (Tom Ridge Field),United States,"Erie, Pennsylvania"
ERL,ZBER,Erenhot Saiwusu International Airport,China,"Erenhot, Inner Mongolia"
ERM,SSER,Erechim Airport,Brazil,"Erechim, Rio Grande do Sul"
ERN,SWEI,Eirunepé Airport (Amaury Feitosa Tomaz Airport),Brazil,"Eirunepé, Amazonas"
ERQ,YESE,Elrose Airport,Australia,"Eloise Copper Mine, Queensland"
ERR,KERR,Errol Airport,United States,"Errol, New Hampshire"
ERS,FYWE,Eros Airport,Namibia,Windhoek
ERT,,Erdenet Airport,Mongolia,Erdenet
ERU,AYER,Erume Airport,Papua New Guinea,Erume
ERV,KERV,Kerrville Municipal Airport (Louis Schreiner Field),United States,"Kerrville, Texas"
ERZ,LTCE,Erzurum Airport,Turkey,Erzurum
ESA,,Esa'ala Airport,Papua New Guinea,Esa'ala
ESB,LTAC,Esenboğa International Airport,Turkey,Ankara
ESC,KESC,Delta County Airport,United States,"Escanaba, Michigan"
ESD,KORS,Orcas Island Airport ,United States,"Eastsound, Washington"
ESE,MMES,Ensenada Airport,Mexico,"Ensenada, Baja California"
ESF,KESF,Esler Airfield (Esler Regional Airport),United States,"Alexandria, Louisiana"
ESG,SGME,Dr. Luis María Argaña International Airport,Paraguay,Mariscal Estigarribia
ESH,EGKA,Shoreham Airport (Brighton City Airport),United Kingdom,"Shoreham-by-Sea, England"
ESI,,Espinosa Airport,Brazil,"Espinosa, Minas Gerais"
ESK,LTBI,Eskişehir Airport,Turkey,Eskişehir
ESL,URWI,Elista Airport,Russia,"Elista, Kalmykia"
ESM,SETN,Carlos Concha Torres International Airport,Ecuador,Esmeraldas
ESN,KESN,Easton Airport (Newnam Field),United States,"Easton, Maryland"
ESO,,Ohkay Owingeh Airport ,United States,"Española, New Mexico"
ESP,,Stroudsburg–Pocono Airport,United States,"East Stroudsburg, Pennsylvania"
ESR,SCES,Ricardo García Posada Airport,Chile,El Salvador
ESS,EDLE,Essen/Mülheim Airport,Germany,"Essen, North Rhine-Westphalia"
EST,KEST,Estherville Municipal Airport,United States,"Estherville, Iowa"
ESU,GMMI,Essaouira-Mogador Airport,Morocco,Essaouira
ESW,KESW,Easton State Airport,United States,"Easton, Washington"
ETB,KETB,West Bend Municipal Airport,United States,"West Bend, Wisconsin"
ETD,YEDA,Etadunna Airport,Australia,"Etadunna, South Australia"
ETE,HAMM,Genda Wuha Airport,Ethiopia,Metemma
ETH,LLET,J. Hozman Airport,Israel,Eilat
ETM,LLER,Ramon Airport,Israel,Eilat
ETN,KETN,Eastland Municipal Airport,United States,"Eastland, Texas"
ETR,SERO,Santa Rosa International Airport,Ecuador,Santa Rosa
ETS,KEDN,Enterprise Municipal Airport ,United States,"Enterprise, Alabama"
ETZ,LFJL,Metz–Nancy–Lorraine Airport,France,"Metz / Nancy, Lorraine"
EUA,NFTE,Eua Airport (Kaufana Airport),Tonga,Eua
EUC,YECL,Eucla Airport,Australia,"Eucla, Western Australia"
EUE,,Eureka Airport ,United States,"Eureka, Nevada"
EUF,KEUF,Weedon Field,United States,"Eufaula, Alabama"
EUG,KEUG,Eugene Airport (Mahlon Sweet Airport),United States,"Eugene, Oregon"
EUM,EDHN,Neumünster Airport,Germany,"Neumünster, Schleswig-Holstein"
EUN,GMML,Hassan I Airport,Morocco,Laayoune
EUO,,Paratebueno Airport,Colombia,Paratebueno
EUQ,RPVS,Evelio Javier Airport (Antique Airport),Philippines,San Jose de Buenavista
EUX,TNCE,F. D. Roosevelt Airport,Caribbean Netherlands,"Oranjestad, Sint Eustatius"
EVA,,Ben Bruce Memorial Airpark ,United States,"Evadale, Texas"
EVD,,Eva Downs Airport,Australia,"Eva Downs, Northern Territory"
EVE,ENEV,"Harstad/Narvik Airport, Evenes",Norway,Harstad / Narvik
EVG,ESND,Sveg Airport,Sweden,Sveg
EVH,YEVD,Evans Head Memorial Aerodrome,Australia,"Evans Head, New South Wales"
EVM,KEVM,Eveleth-Virginia Municipal Airport,United States,"Eveleth, Minnesota"
EVN,UDYZ,Zvartnots International Airport,Armenia,Yerevan
EVV,KEVV,Evansville Regional Airport,United States,"Evansville, Indiana"
EVW,KEVW,Evanston-Uinta County Burns Field,United States,"Evanston, Wyoming"
EVX,LFOE,Évreux-Fauville Air Base,France,"Évreux, Upper Normandy"
EWB,KEWB,New Bedford Regional Airport,United States,"New Bedford / Fall River, Massachusetts"
EWE,,Ewer Airport,Indonesia,Ewer
EWI,WABT,Enarotali Airport,Indonesia,Enarotali
EWK,KEWK,Newton City/County Airport,United States,"Newton, Kansas"
EWN,KEWN,Coastal Carolina Regional Airport,United States,"New Bern, North Carolina"
EWO,FCOE,Ewo Airport,Republic of the Congo,Ewo
EWR,KEWR,Newark Liberty International Airport,United States,"Newark, New Jersey"
EXI,,Excursion Inlet Seaplane Base,United States,"Excursion Inlet, Alaska"
EXM,YEXM,Exmouth Airport,Australia,"Exmouth, Western Australia"
EXT,EGTE,Exeter International Airport,United Kingdom,"Exeter, England"
EYK,USHQ,Beloyarsk Airport,Russia,"Beloyarsky, Khanty-Mansi Autonomous Okrug"
EYL,GAYE,Yélimané Airport,Mali,Yélimané
EYP,SKYP,El Alcaraván Airport,Colombia,Yopal
EYR,,Yerington Municipal Airport,United States,"Yerington, Nevada"
EYS,HKES,Eliye Springs Airport,Kenya,Eliye Springs
EYW,KEYW,Key West International Airport,United States,"Key West, Florida"
EZE,SAEZ,Ministro Pistarini International Airport,Argentina,Buenos Aires
EZS,LTCA,Elazığ Airport,Turkey,Elazığ
EZV,,Beryozovo Airport,Russia,"Beryozovo, Khanty-Mansi Autonomous Okrug"
FAA,GUFH,Faranah Airport,Guinea,Faranah
FAB,EGLF,Farnborough Airport,United Kingdom,"Farnborough, England"
FAC,NTKF,Faaite Airport,French Polynesia,"Faaite, Tuamotus"
FAE,EKVG,Vágar Airport,Faroe Islands,Vágar
FAF,KFAF,Felker Army Airfield,United States,"Fort Eustis, Virginia"
FAG,BIFM,Fagurhólsmýri Airport,Iceland,Fagurhólsmýri
FAH,OAFR,Farah Airport,Afghanistan,Farah
FAI,PAFA,Fairbanks International Airport,United States,"Fairbanks, Alaska"
FAJ,TJFA,Diego Jiménez Torres Airport ,United States,"Fajardo, Puerto Rico"
FAK,,False Island Seaplane Base ,United States,"False Island, Alaska"
FAM,KFAM,Farmington Regional Airport,United States,"Farmington, Missouri"
FAO,LPFR,Faro Airport,Portugal,Faro
FAQ,AYFR,Frieda River Airport,Papua New Guinea,Frieda River
FAR,KFAR,Hector International Airport,United States,"Fargo, North Dakota"
FAS,BIFF,Fáskrúðsfjörður Airport,Iceland,Fáskrúðsfjörður
FAT,KFAT,Fresno Yosemite International Airport,United States,"Fresno, California"
FAU,OOFD,Fahud Airport,Oman,Fahud
FAV,NTGF,Fakarava Airport,French Polynesia,"Fakarava, Tuamotus"
FAY,KFAY,Fayetteville Regional Airport (Grannis Field),United States,"Fayetteville, North Carolina"
FAZ,OISF,Fasa Airport,Iran,Fasa
FBA,SWOB,Fonte Boa Airport,Brazil,"Fonte Boa, Amazonas"
FBD,OAFZ,Fayzabad Airport,Afghanistan,Fayzabad
FBE,SSFB,Francisco Beltrão Airport (Paulo Abdala Airport),Brazil,"Francisco Beltrão, Paraná"
FBG,KFBG,Simmons Army Airfield,United States,"Fort Bragg, North Carolina"
FBK,PAFB,Ladd Army Airfield,United States,"Fairbanks, Alaska"
FBL,KFBL,Faribault Municipal Airport,United States,"Faribault, Minnesota"
FBM,FZQA,Lubumbashi International Airport,Democratic Republic of the Congo,Lubumbashi
FBR,KFBR,Fort Bridger Airport,United States,"Fort Bridger, Wyoming"
FBS,,Friday Harbor Seaplane Base ,United States,"Friday Harbor, Washington"
FBY,KFBY,Fairbury Municipal Airport,United States,"Fairbury, Nebraska"
FCA,KGPI,Glacier Park International Airport ,United States,"Kalispell, Montana"
FCB,FAFB,Ficksburg Airport,South Africa,Ficksburg
FCH,KFCH,Fresno Chandler Executive Airport,United States,"Fresno, California"
FCM,KFCM,Flying Cloud Airport,United States,"Eden Prairie, Minnesota"
FCN,ETMN,Sea-Airport Cuxhaven/Nordholz,Germany,"Cuxhaven, Lower Saxony"
FCO,LIRF,Leonardo da Vinci–Fiumicino Airport,Italy,"Rome, Lazio"
FCS,KFCS,Butts Army Airfield (Fort Carson),United States,"Colorado Springs, Colorado"
FCY,KFCY,Forrest City Municipal Airport,United States,"Forrest City, Arkansas"
FDE,ENBL,"Førde Airport, Bringeland",Norway,Førde
FDF,TFFF,Martinique Aimé Césaire International Airport,Martinique,Fort-de-France
FDH,EDNY,Friedrichshafen Airport (Bodensee Airport),Germany,"Friedrichshafen, Baden-Württemberg"
FDK,KFDK,Frederick Municipal Airport,United States,"Frederick, Maryland"
FDR,KFDR,Frederick Regional Airport,United States,"Frederick, Oklahoma"
FDU,FZBO,Bandundu Airport,Democratic Republic of the Congo,Bandundu
FDY,KFDY,Findlay Airport,United States,"Findlay, Ohio"
FEA,,Fetlar Airport,United Kingdom,"Fetlar, Scotland"
FEB,VNSR,Sanfebagar Airport,Nepal,Sanfebagar
FEC,SNJD,Feira de Santana Airport (Gov. João Durval Carneiro Airport),Brazil,"Feira de Santana, Bahia"
FEG,UTKF,Fergana International Airport,Uzbekistan,Fergana
FEJ,SNOU,Feijó Airport,Brazil,"Feijó, Acre"
FEK,DIFK,Ferkessédougou Airport,Ivory Coast,Ferkessédougou
FEL,ETSF,Fürstenfeldbruck Air Base,Germany,"Fürstenfeldbruck, Bavaria"
FEN,SBFN,Fernando de Noronha Airport (Gov. Carlos Wilson Airport),Brazil,"Fernando de Noronha, Pernambuco"
FEP,KFEP,Albertus Airport,United States,"Freeport, Illinois"
FET,KFET,Fremont Municipal Airport,United States,"Fremont, Nebraska"
FEZ,GMFF,Fes–Saïss Airport,Morocco,Fez
FFA,KFFA,First Flight Airport,United States,"Kill Devil Hills, North Carolina"
FFD,EGVA,RAF Fairford,United Kingdom,"Fairford, England"
FFL,KFFL,Fairfield Municipal Airport,United States,"Fairfield, Iowa"
FFM,KFFM,Fergus Falls Municipal Airport (Einar Mickelson Field),United States,"Fergus Falls, Minnesota"
FFO,KFFO,Wright-Patterson Air Force Base (First Flight-Office),United States,"Dayton, Ohio"
FFT,KFFT,Capital City Airport,United States,"Frankfort, Kentucky"
FFU,SCFT,Futaleufú Airfield,Chile,Futaleufú
FGD,GQPF,Fderik Airport,Mauritania,Fderîck
FGI,NSFI,Fagali'i Airport,Samoa,"Apia, Upolu Island"
FGU,NTGB,Fangatau Airport,French Polynesia,"Fangatau, Tuamotus"
FHU,KFHU,Sierra Vista Municipal Airport (Libby Army Airfield),United States,"Sierra Vista, Arizona"
FHZ,NTKH,Fakahina Airport,French Polynesia,"Fakahina, Tuamotus"
FID,,Elizabeth Field ,United States,"Fishers Island, New York"
FIE,EGEF,Fair Isle Airport,United Kingdom,"Fair Isle, Scotland"
FIG,GUFA,Fria Airport,Guinea,Fria
FIH,FZAA,N'djili Airport (Kinshasa Int'l Airport),Democratic Republic of the Congo,Kinshasa
FIK,YFNE,Finke Airport,Australia,"Finke (Aputula), Northern Territory"
FIL,KFOM,Fillmore Municipal Airport ,United States,"Fillmore, Utah"
FIN,AYFI,Finschhafen Airport,Papua New Guinea,Finschhafen
FIZ,YFTZ,Fitzroy Crossing Airport,Australia,"Fitzroy Crossing, Western Australia"
FJR,OMFJ,Fujairah International Airport,United Arab Emirates,Fujairah
FKB,EDSB,Karlsruhe/Baden-Baden Airport,Germany,"Karlsruhe / Baden-Baden, Baden-Württemberg"
FKI,FZIC,Bangoka International Airport,Democratic Republic of the Congo,Kisangani
FKJ,RJNF,Fukui Airport,Japan,"Fukui, Honshu"
FKL,KFKL,Venango Regional Airport (Chess Lamberton Field),United States,"Franklin, Pennsylvania"
FKN,KFKN,Franklin Municipal–John Beverly Rose Airport,United States,"Franklin, Virginia"
FKQ,WASF,Fakfak Torea Airport,Indonesia,Fakfak
FKS,RJSF,Fukushima Airport,Japan,"Sukagawa, Honshu"
FLA,SKFL,Gustavo Artunduaga Paredes Airport,Colombia,Florencia (Caquetá)
FLB,SNQG,Cangapara Airport,Brazil,"Floriano, Piauí"
FLD,KFLD,Fond du Lac County Airport,United States,"Fond du Lac, Wisconsin"
FLF,EDXF,Flensburg-Schäferhaus Airport,Germany,"Flensburg, Schleswig-Holstein"
FLG,KFLG,Flagstaff Pulliam Airport,United States,"Flagstaff, Arizona"
FLH,,Flotta Airport,United Kingdom,"Flotta, Scotland"
FLI,,Holt Airport,Iceland,Flateyri
FLL,KFLL,Fort Lauderdale–Hollywood International Airport,United States,"Fort Lauderdale / Hollywood, Florida"
FLM,SGFI,Filadelfia Airport,Paraguay,Filadelfia
FLN,SBFL,Hercílio Luz International Airport,Brazil,"Florianópolis, Santa Catarina"
FLO,KFLO,Florence Regional Airport,United States,"Florence, South Carolina"
FLP,KFLP,Marion County Regional Airport,United States,"Flippin, Arkansas"
FLR,LIRQ,"Florence Airport, Peretola (Amerigo Vespucci Airport)",Italy,"Florence, Tuscany"
FLS,YFLI,Flinders Island Airport,Australia,"Flinders Island, Tasmania"
FLT,,Flat Airport,United States,"Flat, Alaska"
FLV,KFLV,Sherman Army Airfield,United States,"Fort Leavenworth, Kansas"
FLW,LPFL,Flores Airport,Portugal,"Flores Island, Azores"
FLX,KFLX,Fallon Municipal Airport,United States,"Fallon, Nevada"
FLY,YFIL,Finley Airport,Australia,"Finley, New South Wales"
FLZ,WIMS,Ferdinand Lumban Tobing Airport,Indonesia,Sibolga
FMA,SARF,Formosa International Airport (El Pucú Airport),Argentina,Formosa
FME,KFME,Tipton Airport,United States,"Fort Meade / Odenton, Maryland"
FMH,KFMH,Otis Air National Guard Base,United States,"Falmouth, Massachusetts"
FMI,FZRF,Kalemie Airport,Democratic Republic of the Congo,Kalemie
FMM,EDJA,Memmingen Airport,Germany,"Memmingen, Bavaria"
FMN,KFMN,Four Corners Regional Airport,United States,"Farmington, New Mexico"
FMO,EDDG,Münster Osnabrück International Airport,Germany,"Münster / Osnabrück (LS), North Rhine-Westphalia"
FMS,KFSW,Fort Madison Municipal Airport ,United States,"Fort Madison, Iowa"
FMU,,Florence Municipal Airport,United States,"Florence, Oregon"
FMY,KFMY,Page Field,United States,"Fort Myers, Florida"
FNA,GFLL,Lungi International Airport,Sierra Leone,Freetown
FNB,ETNU,Neubrandenburg Airport,Germany,"Neubrandenburg, Mecklenburg-Vorpommern"
FNC,LPMA,Madeira Airport,Portugal,"Funchal, Madeira"
FND,,Funadhoo Airport,Maldives,"Funadhoo, Shaviyani Atoll"
FNE,AYFA,Fane Airport,Papua New Guinea,Fane
FNG,DFEF,Fada N'gourma Airport,Burkina Faso,Fada N'gourma
FNH,HAFN,Fincha Airport,Ethiopia,Fincha
FNI,LFTW,Nîmes–Alès–Camargue–Cévennes Airport (Garons Airport),France,"Nîmes, Languedoc-Roussillon"
FNJ,ZKPY,Pyongyang Sunan International Airport,North Korea,Pyongyang
FNL,KFNL,Fort Collins–Loveland Municipal Airport,United States,"Fort Collins/Loveland, Colorado"
FNR,PANR,Funter Bay Seaplane Base,United States,"Funter Bay, Alaska"
FNT,KFNT,Bishop International Airport,United States,"Flint, Michigan"
FNU,LIER,Oristano-Fenosu Airport,Italy,"Oristano, Sardinia"
FOA,,Foula Airfield,United Kingdom,"Foula, Scotland"
FOB,,Fort Bragg Airport ,United States,"Fort Bragg, California"
FOC,ZSFZ,Fuzhou Changle International Airport,China,"Fuzhou, Fujian"
FOD,KFOD,Fort Dodge Regional Airport,United States,"Fort Dodge, Iowa"
FOE,KFOE,Topeka Regional Airport,United States,"Topeka, Kansas"
FOG,LIBF,"Foggia ""Gino Lisa"" Airport",Italy,"Foggia, Apulia"
FOK,KFOK,Francis S. Gabreski Airport,United States,"Westhampton Beach, New York"
FOM,FKKM,Foumban Nkounja Airport,Cameroon,Foumban
FON,MRAN,La Fortuna Arenal Airport,Costa Rica,La Fortuna
FOO,,Kornasoren Airport (Numfoor Airport),Indonesia,Numfoor
FOR,SBFZ,Pinto Martins – Fortaleza International Airport,Brazil,"Fortaleza, Ceará"
FOS,YFRT,Forrest Airport,Australia,"Forrest, Western Australia"
FOT,YFST,Forster (Wallis Island) Airport,Australia,"Forster, New South Wales"
FOU,FOGF,Fougamou Airport,Gabon,Fougamou
FOY,,Foya Airport,Liberia,Foya
FPO,MYGF,Grand Bahama International Airport,Bahamas,"Freeport, Grand Bahama"
FPR,KFPR,St. Lucie County International Airport,United States,"Fort Pierce, Florida"
FPY,,Perry-Foley Airport ,United States,"Perry, Florida"
FRA,EDDF,Frankfurt Airport,Germany,"Frankfurt, Hessen"
FRB,YFBS,Forbes Airport,Australia,"Forbes, New South Wales"
FRC,SIMK,Franca Airport (Ten. Lund Presotto–Franca State Airport),Brazil,"Franca, São Paulo"
FRD,KFHR,Friday Harbor Airport ,United States,"Friday Harbor, Washington"
FRE,AGGF,Fera Airport (Fera/Maringe Airport),Solomon Islands,"Fera Island, Isabel Province"
FRG,KFRG,Republic Airport,United States,"Farmingdale, New York"
FRH,KFRH,French Lick Municipal Airport,United States,"French Lick, Indiana"
FRI,KFRI,Marshall Army Airfield,United States,"Fort Riley, Kansas"
FRK,FSSF,Frégate Island Airport,Seychelles,Frégate Island
FRL,LIPK,Forlì International Airport (Luigi Ridolfi Airport),Italy,"Forlì, Emilia-Romagna"
FRM,KFRM,Fairmont Municipal Airport,United States,"Fairmont, Minnesota"
FRN,PAFR,Bryant Army Airport,United States,"Anchorage, Alaska"
FRO,ENFL,Florø Airport,Norway,Florø
FRQ,AYFE,Feramin Airport,Papua New Guinea,Feramin
FRR,KFRR,Front Royal–Warren County Airport,United States,"Front Royal, Virginia"
FRS,MGTK,Mundo Maya International Airport,Guatemala,Flores
FRT,SCFI,Frutillar Airport,Chile,Frutillar
FRU,UAFM,Manas International Airport,Kyrgyzstan,Bishkek
FRW,FBFT,Francistown Airport,Botswana,Francistown
FRY,KIZG,Eastern Slopes Regional Airport ,United States,"Fryeburg, Maine"
FRZ,ETHF,Fritzlar Air Base,Germany,"Fritzlar, Hesse"
FSC,LFKF,Figari–Sud Corse Airport,France,"Figari, Corsica"
FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),United States,"Sioux Falls, South Dakota"
FSI,KFSI,Henry Post Army Airfield (Fort Sill),United States,"Lawton, Oklahoma"
FSK,KFSK,Fort Scott Municipal Airport,United States,"Fort Scott, Kansas"
FSL,,Fossil Downs Airport,Australia,"Fossil Downs Station, Western Australia"
FSM,KFSM,Fort Smith Regional Airport,United States,"Fort Smith, Arkansas"
FSP,LFVP,Saint-Pierre Airport,Saint Pierre and Miquelon,Saint-Pierre
FSS,EGQK,RAF Kinloss,United Kingdom,"Forres, Scotland"
FST,KFST,Fort Stockton–Pecos County Airport,United States,"Fort Stockton, Texas"
FSU,KFSU,Fort Sumner Municipal Airport,United States,"Fort Sumner, New Mexico"
FSZ,RJNS,Shizuoka Airport (Mt. Fuji Shizuoka Airport),Japan,"Shizuoka, Honshu"
FTA,NVVF,Futuna Airport,Vanuatu,"Futuna Island, Tafea"
FTE,SAWA,Comandante Armando Tola International Airport,Argentina,"El Calafate, Santa Cruz"
FTI,NSFQ,Fitiuta Airport ,United States,"Fitiuta, American Samoa"
FTK,KFTK,Godman Army Airfield,United States,"Fort Knox, Kentucky"
FTU,FMSD,Tôlanaro Airport (Marillac Airport),Madagascar,Tôlanaro
FTW,KFTW,Fort Worth Meacham International Airport,United States,"Fort Worth, Texas"
FTX,FCOO,Owando Airport,Republic of the Congo,Owando
FTY,KFTY,Fulton County Airport (Charlie Brown Field),United States,"Atlanta, Georgia"
FUB,,Fulleborn Airport,Papua New Guinea,Fulleborn
FUE,GCFV,Fuerteventura Airport,Spain,"Fuerteventura, Canary Islands"
FUG,ZSFY,Fuyang Xiguan Airport,China,"Fuyang, Anhui"
FUJ,RJFE,Fukue Airport (Gotō-Fukue Airport),Japan,"Gotō, Gotō Islands"
FUK,RJFF,Fukuoka Airport (Itazuke Air Base),Japan,"Fukuoka, Kyushu"
FUL,KFUL,Fullerton Municipal Airport,United States,"Fullerton, California"
FUM,,Fuma Airport,Papua New Guinea,Fuma
FUN,NGFU,Funafuti International Airport,Tuvalu,Funafuti
FUO,ZGFS,Foshan Shadi Airport,China,"Foshan, Guangdong"
FUT,NLWF,Pointe Vele Airport,Wallis and Futuna,Futuna Island
FVL,YFLO,Flora Valley Airport,Australia,"Flora Valley, Western Australia"
FVM,VRMF,Fuvahmulah Airport,Maldives,"Fuvahmulah, Gnaviyani Atoll"
FVR,YFRV,Forrest River Airport,Australia,"Forrest River Mission, Western Australia"
FWA,KFWA,Fort Wayne International Airport,United States,"Fort Wayne, Indiana"
FWH,KNFW,NAS Fort Worth JRB / Carswell Field ,United States,"Fort Worth, Texas"
FWL,PAFW,Farewell Airport,United States,"Farewell, Alaska"
FXE,KFXE,Fort Lauderdale Executive Airport,United States,"Fort Lauderdale, Florida"
FXO,FQCB,Cuamba Airport,Mozambique,Cuamba
FXY,KFXY,Forest City Municipal Airport,United States,"Forest City, Iowa"
FYJ,ZYFY,Fuyuan Dongji Airport,China,"Fuyuan, Heilongjiang"
FYM,KFYM,Fayetteville Municipal Airport,United States,"Fayetteville, Tennessee"
FYN,ZWFY,Fuyun Koktokay Airport,China,"Fuyun, Xinjiang"
FYT,FTTY,Faya-Largeau Airport,Chad,Faya-Largeau
FYU,PFYU,Fort Yukon Airport,United States,"Fort Yukon, Alaska"
FYV,KFYV,Drake Field (Fayetteville Executive Airport),United States,"Fayetteville, Arkansas"
FZO,EGTG,Bristol Filton Airport,United Kingdom,"Bristol, England"
GAA,,Guamal Airport,Colombia,Guamal
GAB,KGAB,Gabbs Airport,United States,"Gabbs, Nevada"
GAC,MHGS,Gracias Airport,Honduras,Gracias
GAD,KGAD,Northeast Alabama Regional Airport,United States,"Gadsden, Alabama"
GAE,DTTG,Gabès – Matmata International Airport,Tunisia,Gabès
GAF,DTTF,Gafsa – Ksar International Airport,Tunisia,Gafsa
GAG,KGAG,Gage Airport,United States,"Gage, Oklahoma"
GAH,YGAY,Gayndah Airport,Australia,"Gayndah, Queensland"
GAI,KGAI,Montgomery County Airpark,United States,"Gaithersburg, Maryland"
GAJ,RJSC,Yamagata Airport (Junmachi Airport),Japan,"Yamagata, Honshu"
GAL,PAGA,Edward G. Pitka Sr. Airport,United States,"Galena, Alaska"
GAM,PAGM,Gambell Airport,United States,"Gambell, Alaska"
GAN,VRMG,Gan International Airport,Maldives,"Gan Island, Addu Atoll"
GAO,MUGT,Mariana Grajales Airport,Cuba,Guantánamo
GAP,AYGP,Gusap Airport,Papua New Guinea,Gusap
GAQ,GAGO,Gao International Airport (Korogoussou Airport),Mali,Gao
GAR,AYGI,Garaina Airport,Papua New Guinea,Garaina
GAS,HKGA,Garissa Airport,Kenya,Garissa
GAT,LFNA,Gap–Tallard Airport,France,"Gap, Provence-Alpes-Côte d'Azur"
GAU,VEGT,Lokpriya Gopinath Bordoloi International Airport,India,"Guwahati, Assam"
GAV,,Gag Island Airport,Indonesia,Gag Island
GAW,VYGG,Gangaw Airport,Myanmar,Gangaw
GAX,,Gamba Airport,Gabon,Gamba
GAY,VEGY,Gaya Airport (Bodhgaya Airport),India,"Gaya, Bihar"
GAZ,,Guasopa Airport,Papua New Guinea,Guasopa
GBA,EGBP,Cotswold Airport,United Kingdom,"Kemble, England"
GBB,UBBQ,Qabala International Airport,Azerbaijan,Qabala
GBC,AYGS,Gasuke Airport,Papua New Guinea,Gasuke
GBD,KGBD,Great Bend Municipal Airport,United States,"Great Bend, Kansas"
GBE,FBSK,Sir Seretse Khama International Airport,Botswana,Gaborone
GBF,AYNE,Negarbo Airport,Papua New Guinea,Negarbo
GBG,KGBG,Galesburg Municipal Airport,United States,"Galesburg, Illinois"
GBH,PAGB,Galbraith Lake Airport,United States,"Galbraith Lake, Alaska"
GBI,,Kalaburagi Airport,India,"Gulbarga, Karnataka"
GBJ,TFFM,Marie-Galante Airport (Les Bases),Guadeloupe,"Grand-Bourg, Marie-Galante Island"
